Age,Tenure,MonthlyCharge,Complaints,Churn
56,24,120,5,0
29,16,58,5,0
52,45,76,0,0
35,27,34,8,0
53,3,68,8,0
41,5,104,5,0
27,52,70,9,0
26,57,67,8,0
51,6,96,4,0
41,22,37,1,0
22,30,36,9,0
56,33,43,6,0
37,7,41,2,0
27,33,82,5,0
48,37,77,0,0
37,2,24,6,0
38,58,117,10,0
52,47,70,5,0
46,46,101,8,0
32,57,70,9,0
37,29,84,7,0
46,14,87,5,0
29,9,58,9,0
29,43,116,2,0
60,25,24,8,0
35,13,28,0,0
26,24,86,10,0
37,37,110,3,0
19,40,120,4,0
38,27,59,9,0
31,12,98,10,0
56,2,41,7,0
57,35,31,8,0
58,22,32,1,0
41,40,65,0,0
19,39,51,0,0
42,2,68,8,0
29,35,78,3,0
